"id","productName","productDescription","category","subcategory","price","currency","imageUrl","inStock","sizes","colors","brand","productType","region","lastUpdated","groupset","brakes","frameMaterial","wheelSize","suspension","weight","hasWarranty"
"CANYON-023","Canyon Tempr CFR Road Shoes","Premium road cycling shoes with CFR technology for maximum performance.","Apparel","Shoes","299.95","EUR","/productimages/CANYON-023.png","true","38,39,40,41,42,43,44,45,46,47","White,Black","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","7","true"
"CANYON-024","Canyon Disruptr CFR Helmet","Aero road helmet with MIPS technology and free rear light included.","Apparel","Helmets","199.95","EUR","/productimages/CANYON-024.png","true","S,M,L","White,Black,Grey","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","true"
"CANYON-025","Canyon Scampr Trail Shoes","MTB trail shoes for flat pedals and technical terrain.","Apparel","Shoes","159.95","EUR","/productimages/CANYON-025.png","true","38,39,40,41,42,43,44,45,46","Black,Grey","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","true"
"CANYON-026","Canyon Tempr CFR Off-Road Shoes","Gravel and MTB shoes with Vibram sole for maximum grip.","Apparel","Shoes","299.95","EUR","/productimages/CANYON-026.png","true","38,39,40,41,42,43,44,45,46,47","White,Black,Grey","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","true"
"CANYON-027","Canyon Light Aero Cycling Socks","Aerodynamic cycling socks for race performance.","Apparel","Socks","19.95","EUR","/productimages/CANYON-027.png","true","36-39,40-43,44-47","White,Black","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","false"
"CANYON-028","Canyon CORE Men's Bibshort","Premium bib shorts with high-quality chamois padding.","Apparel","Shorts","109.95","EUR","/productimages/CANYON-028.png","true","XS,S,M,L,XL,XXL","Black","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","false"
"CANYON-029","Canyon Deflectr Helmet","MTB helmet with extended rear head protection and award-winning design.","Apparel","Helmets","159.95","EUR","/productimages/CANYON-029.png","true","S,M,L","Matte Black,Metallic Olive,Desert","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","true"
"CANYON-030","Canyon Core Socks","Everyday cycling socks with Canyon logo branding.","Apparel","Socks","9.95","EUR","/productimages/CANYON-030.png","true","36-39,40-43,44-47","White,Black","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","false"
"CANYON-031","Canyon CORE Men's Road Jersey","Short-sleeve jersey made from breathable technical fabric.","Apparel","Jerseys","89.95","EUR","/productimages/CANYON-031.png","true","XS,S,M,L,XL,XXL","White,Black,Grey,Olive Night","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","false"
"CANYON-032","Canyon Stingr CFR Helmet","Premium aero road helmet with award-winning aerodynamics and MIPS.","Apparel","Helmets","249.95","EUR","/productimages/CANYON-032.png","true","S,M,L","White,Black","Canyon","Apparel","GLOBAL","2026-02-04T21:00:00Z","","","","","","","true"
